IC,NNG,JKB,JKS,NP,JX,MAG,VA,EC,VV,VX,XSN,VA-I,JKO,EF,VV-I,ETM,SF,VCP,XSA-I,XSV,VCN,XR,NNB,EP,MAJ,VV-R,SL,SN,MM,ETN,JKG,NNP,XSA,JC,NR,Z_CODA,JKC,XPN,VA-R,JKQ,JKV,SSC
,전집,,,,,아마,,게,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,먼저,,면,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,집,,,,,막,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,책,,,,,이렇게,,고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전집,,,,,진짜,,어,사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,과학,,,,,정말,,어서,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전집,,,,,진짜,,면서,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,위인전,,,,,너무,,어,꾸미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학창,,,,,정말,,면,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시절,,,,,자주,,는데,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,인격,,,,,더,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,형성,,,,,자주,,다,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,더,,니까,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,추억,,,,,자주,,어,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,경험,,,,,먼저,,어,즐기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사회생활,,,,,너무,,는데,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,제일,,어서,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,발,,,,,막,,면서,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학창,,,,,맨날,,게,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시절,,,,,너무,,어야지,갚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,빨리,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,그때,,,,,지금,,어서,맞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,촌지,,,,,다,,어서,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,어머니,,,,,진짜,,어도,어쩌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,촌지,,,,,너무,,지,사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,선생,,,,,너무,,고,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,선생,,,,,진짜,,어서,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학생,,,,,다,,면,사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,머리,,,,,왜,,고,돌아가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,칭찬,,,,,이렇게,,ᆫ다고,사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,어머니,,,,,별로,,면서,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,어머니,,,,,참,,지만,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,되게,,고,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,그때,,,,,아직,,지만,사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,돈,,,,,이렇게,,게,흐르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,촌지,,,,,많이,,고,들어오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,자리,,,,,많이,,지,쫓아내,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,많이,,고,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,많이,,게,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,돈,,,,,다,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,집,,,,,막,,고,얹히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,촌지,,,,,안,,고,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전달,,,,,막,,어서,만들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,선생,,,,,더,,어서,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관심,,,,,잘,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관심,,,,,막,,어도,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,아이,,,,,참,,면,보이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공부,,,,,정말,,던가,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,집,,,,,진짜,,게,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,과외,,,,,정말,,던가,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,얘기,,,,,정말,,는데,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,지방,,,,,참,,어,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,와중,,,,,잘,,어서,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학생,,,,,안,,게,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직장,,,,,좀,,다,세우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,사실,,니까,들어오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,꼭,,어서,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일,,,,,안,,고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,위,,,,,충분히,,어서,느끼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,상사,,,,,많이,,게,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,칭찬,,,,,정말,,ᆫ가,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시절,,,,,지금,,어도,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,알바,,,,,진짜,,거나,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,막,,ᆫ지라,모르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일,,,,,아니,,고,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,제일,,어도,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시대,,,,,되게,,게,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,변천,,,,,진짜,,는가,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,이해,,,,,되게,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,이해,,,,,못,,어서,들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,이해,,,,,막,,어,꾸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,이해,,,,,안,,지,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직장,,,,,다,,면서,가꾸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,못,,다니까,즐기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,그때,,,,,어쨌거나,,으면은,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,백화점,,,,,여태,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,막,,고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,그때,,,,,진짜,,지만,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,시시콜콜,,고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일,,,,,다,,지,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,지금,,,,,아무리,,니까,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,오래,,지,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일,,,,,진짜,,게,말리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,몸,,,,,정말,,게,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,희생,,,,,안,,게,맞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,정도,,,,,더,,지,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,물불,,,,,못,,어서,겪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,아이,,,,,정말,,라서,만들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,인생,,,,,약간,,고,맞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,좀,,고,들어오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,활용,,,,,좀,,지만,사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,인생,,,,,좀,,게,나가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,명예,,,,,좀,,지만,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,많이,,게,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직장,,,,,사실,,어,나가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,많이,,고,살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,정말,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,퇴근,,,,,많이,,면,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,성향,,,,,많이,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일,,,,,되게,,어서,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,땡,,,,,많이,,어서,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,요즘,,,,,많이,,고,올라오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,못,,어,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,수당,,,,,되게,,는데,들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공지,,,,,일단,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,옛날,,,,,일찍,,고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직장,,,,,다,,어,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,약간,,고,넘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,좀,,고,알,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야근,,,,,일찍,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,날,,,,,거의,,고,쓰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,이제,,고,갖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전,,,,,거의,,게,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야근,,,,,일찍,,고,들어오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,간식,,,,,제일,,어,맞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,정도,,,,,막,,어,들어오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,막,,다,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,수당,,,,,한참,,지,나가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,세상,,,,,막,,고,나가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,요즘,,,,,막,,게,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직장,,,,,그냥,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,좀,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,돈,,,,,많이,,어서,맞추,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,알뜰,,,,,그나마,,면서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,돈,,,,,이렇게,,어,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,옛날,,,,,제일,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,왜,,어서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,계속,,게,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,초반,,,,,왜,,ᆫ다면,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,후반,,,,,먼저,,다고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직장,,,,,인제,,어,내,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,좀,,다고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,월급,,,,,좀,,어,맞추,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,요즘,,,,,좀,,고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,물가,,,,,안,,는데,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,요즘,,,,,좀,,어도,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,또,,라서,좋아하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,지금,,,,,되게,,어서,좋아하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,오너,,,,,막,,게,좋아하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직원,,,,,그만,,니까,맞추,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,없이,,어서,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,왜,,어,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,눈치,,,,,인제,,고,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,좀,,게,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,예전,,,,,굉장히,,어서,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,오너,,,,,굉장히,,게,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일요일,,,,,많이,,어,쉬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,날,,,,,굉장히,,더니,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,회사,,,,,이제,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,청소,,,,,굉장히,,다고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,직원,,,,,많이,,지만,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시대,,,,,굉장히,,지만,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시대,,,,,되게,,게,찾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사람,,,,,굉장히,,어,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,막,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사람,,,,,막,,니까,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,다,,고,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,회사,,,,,많이,,고,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,강요,,,,,굉장히,,게,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,승복,,,,,많이,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사람,,,,,그렇게,,어,맞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사람,,,,,오래,,어서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,쪼끔,,어서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,해결,,,,,못,,어,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사람,,,,,되게,,어서,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,세상,,,,,못,,게,따르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,제일,,ᆫ데,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공평,,,,,너무,,고,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,그렇게,,다,좋아하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,아이,,,,,잠깐,,니까,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활,,,,,다시,,다,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,다시,,니까,떨어지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,지금,,는데,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,아니,,다,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,그때,,,,,안,,니까,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,인제,,다,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,안,,다,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,친구,,,,,좀,,니까,들어가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,빨리,,ᆫ데,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,인제,,는데,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,행복,,,,,인제,,다고,모르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,수업,,,,,더,,는데,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,오래,,라,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,한참,,다고,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공부,,,,,계속,,니깐,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,계속,,어서,끼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,안,,는데,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,말,,,,,없이,,다,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,필요,,,,,딱,,니까,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,강제,,,,,더,,면서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,더,,다,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,참,,니까,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,너무,,어서,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,취지,,,,,더,,게,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,말,,,,,다,,다,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학원,,,,,더,,니깐,타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,아이,,,,,너무,,어서,건너가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일종,,,,,쪼끔,,어,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,수단,,,,,더,,면,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,돈,,,,,좀,,니깐,주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,더,,어,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학원,,,,,아무리,,는데,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,돈,,,,,맘대로,,니까,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,안,,어서,먹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학원,,,,,딱,,게,마시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,교육부,,,,,더,,니까,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,일률,,,,,약간,,다,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,더,,라고,데리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,딱,,어서,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,지금,,면,차,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,안,,어야,걸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,능동,,,,,막,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,사람,,,,,많이,,고,걸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,안,,어,막히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,아직,,는데,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,밖,,,,,바로,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,야자,,,,,막,,게,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,타임,,,,,참,,어야,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공부,,,,,바로,,는다고,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시간,,,,,아무래도,,어서,말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학창,,,,,잘,,어서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시절,,,,,안,,ᆫ다고,먹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공부,,,,,빨리,,어,맞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,인제,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,날,,,,,아,,어,막히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기말,,,,,좀,,어,올라가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,그때,,,,,그냥,,니까,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,중간,,,,,계속,,게,먹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,고사,,,,,지금,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기말,,,,,지금,,구,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,고사,,,,,막,,ᆫ데,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,월례,,,,,그냥,,다,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,고사,,,,,참,,니까,돌아오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,아직,,다가,나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,펜,,,,,지금,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,채점,,,,,지금,,다가,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,선생,,,,,,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,동그라미,,,,,,,면,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,엑스,,,,,,,다고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,말,,,,,,,어,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학교,,,,,,,으니까,그러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학창,,,,,,,고,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시절,,,,,,,어,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공부,,,,,,,고,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,동그라미,,,,,,,어서,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,약간,,,,,,,고,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,꿈,,,,,,,다,먹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,희망,,,,,,,니까,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,애,,,,,,,어,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,공부,,,,,,,면,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,때,,,,,,,게,생각나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,채점,,,,,,,게,맺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,동그라미,,,,,,,어,따,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,행복감,,,,,,,게,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,,,면,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,,,으니까,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,요즘,,,,,,,다니까,먹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,꿈속,,,,,,,고,나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,꿈,,,,,,,고,걸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,,,게,걸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생각,,,,,,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,대리,,,,,,,니까,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,만족,,,,,,,게,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,대리,,,,,,,고,먹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,만족,,,,,,,게,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,,,어,모르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,벼락치기,,,,,,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,,,면은,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,준비,,,,,,,고,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,자세,,,,,,,다,나가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,레슨,,,,,,,어,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,학생,,,,,,,고,나가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,대학,,,,,,,어,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시험,,,,,,,어,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기간,,,,,,,고,가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,레슨,,,,,,,어,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,수업,,,,,,,지,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
